customer_id,telecom_partner,gender,age,state,city,pincode,date_of_registration,num_dependents,estimated_salary,calls_made,sms_sent,data_used,churn
19506,Airtel,F,52.0,Meghalaya,Chennai,559473,07-04-2020,4,135266,19,40.0,5226.0,0
165055,BSNL,F,26.0,Bihar,,399894,06-04-2022,3,84953,3,31.0,4837.0,0
151391,BSNL,F,66.0,Madhya Pradesh,Kolkata,570878,27-01-2022,1,102484,81,23.0,4748.0,0
240043,BSNL,M,40.0,Chhattisgarh,Chennai,989829,16-04-2023,0,60397,64,31.0,906.0,0
117207,Reliance Jio,M,43.0,Punjab,Hyderabad,408313,09-08-2021,0,106674,-1,23.0,7203.0,0
165226,BSNL,M,38.0,Assam,Hyderabad,475138,06-04-2022,0,108099,19,32.0,3640.0,0
103848,Vodafone,F,22.0,Maharashtra,Kolkata,604425,03-06-2021,0,52217,44,-4.0,3817.0,1
166777,BSNL,F,56.0,Maharashtra,Hyderabad,872004,14-04-2022,1,64815,63,3.0,5609.0,0
142866,Reliance Jio,M,61.0,Himachal Pradesh,Bangalore,217426,16-12-2021,0,59609,40,1.0,8893.0,1
121713,Vodafone,F,21.0,West Bengal,Kolkata,718772,01-09-2021,3,76057,2,7.0,3059.0,0
84445,BSNL,M,68.0,Uttar Pradesh,Mumbai,380649,26-02-2021,1,118020,-8,-1.0,2269.0,0
42297,BSNL,M,28.0,Madhya Pradesh,Bangalore,974806,30-07-2020,1,49531,35,26.0,4337.0,0
98218,BSNL,F,25.0,Meghalaya,Kolkata,664068,06-05-2021,3,115836,60,37.0,2020.0,0
45306,BSNL,F,51.0,Chhattisgarh,Kolkata,984988,14-08-2020,0,24002,34,34.0,2983.0,0
222449,Vodafone,F,45.0,Jharkhand,Mumbai,978645,18-01-2023,4,90906,57,7.0,7876.0,1
185037,BSNL,F,56.0,Haryana,Hyderabad,839750,15-07-2022,4,71192,38,-1.0,7810.0,0
155690,BSNL,M,30.0,Telangana,Hyderabad,577903,18-02-2022,4,63856,90,29.0,7960.0,0
64530,Reliance Jio,M,20.0,Meghalaya,,940492,18-11-2020,2,104503,36,43.0,1067.0,0
81267,BSNL,M,29.0,Madhya Pradesh,Mumbai,463221,10-02-2021,2,128496,27,40.0,4583.0,1
123851,Airtel,F,21.0,Tripura,Kolkata,421217,11-09-2021,4,65162,69,41.0,2837.0,0
36010,BSNL,F,57.0,Manipur,Delhi,811403,29-06-2020,0,117176,15,19.0,8979.0,0
55951,Vodafone,M,25.0,,Bangalore,458410,07-10-2020,4,72346,79,50.0,5881.0,0
13126,Airtel,M,33.0,Meghalaya,Chennai,551108,06-03-2020,3,52877,0,22.0,5694.0,0
213938,Reliance Jio,F,30.0,Kerala,Chennai,431990,06-12-2022,4,71289,37,49.0,4295.0,0
185220,Airtel,M,65.0,Uttar Pradesh,Kolkata,270774,16-07-2022,0,86980,84,46.0,434.0,0
27224,Airtel,M,52.0,Madhya Pradesh,Kolkata,941216,16-05-2020,3,28311,87,7.0,9165.0,0
198149,Reliance Jio,F,20.0,Nagaland,Bangalore,481305,18-09-2022,1,67439,72,42.0,2911.0,0
63067,Vodafone,M,54.0,Rajasthan,Hyderabad,611443,11-11-2020,0,87986,12,9.0,5498.0,1
165831,Airtel,M,62.0,Rajasthan,Kolkata,100825,09-04-2022,1,28361,24,9.0,1427.0,0
38013,BSNL,F,35.0,Gujarat,Chennai,441877,09-07-2020,2,49804,9,33.0,9655.0,0
145696,BSNL,F,45.0,Arunachal Pradesh,Mumbai,435603,30-12-2021,0,36623,26,22.0,7703.0,0
210634,Reliance Jio,M,29.0,Goa,Bangalore,815150,20-11-2022,0,30583,91,27.0,,0
219535,Airtel,M,35.0,Karnataka,Bangalore,646174,03-01-2023,0,35535,84,1.0,,1
80378,BSNL,M,61.0,Karnataka,Chennai,310804,06-02-2021,2,75218,43,50.0,7525.0,0
135220,BSNL,M,49.0,Rajasthan,Mumbai,696202,07-11-2021,0,45506,65,5.0,1877.0,0
109963,BSNL,F,26.0,Tamil Nadu,Bangalore,978467,04-07-2021,3,91824,69,28.0,5888.0,0
230776,Reliance Jio,F,72.0,Andhra Pradesh,Bangalore,217596,01-03-2023,0,89089,17,20.0,7303.0,0
35100,Vodafone,F,57.0,Jharkhand,Kolkata,150044,24-06-2020,0,106409,8,36.0,9747.0,0
191862,Vodafone,F,54.0,Andhra Pradesh,Mumbai,365980,18-08-2022,1,47912,16,19.0,616.0,0
196650,Vodafone,M,28.0,Tamil Nadu,,202751,11-09-2022,2,114358,9,13.0,6808.0,0
31193,Reliance Jio,F,18.0,Manipur,Mumbai,229528,05-06-2020,0,79095,48,8.0,10767.0,0
99520,BSNL,M,52.0,Karnataka,Delhi,464902,13-05-2021,3,69072,10,22.0,8109.0,0
193099,Airtel,M,35.0,Tamil Nadu,Bangalore,680098,24-08-2022,2,132420,50,8.0,2375.0,0
173968,Vodafone,M,74.0,Rajasthan,Mumbai,699419,20-05-2022,1,49734,81,8.0,4201.0,0
40731,BSNL,F,74.0,Karnataka,Hyderabad,437459,22-07-2020,1,25230,102,46.0,4886.0,0
196336,Airtel,M,20.0,Telangana,Kolkata,396787,09-09-2022,1,45795,80,,1045.0,0
67545,BSNL,M,37.0,Goa,Mumbai,974346,04-12-2020,2,57420,8,23.0,4260.0,0
26180,BSNL,M,19.0,Uttar Pradesh,Bangalore,735141,11-05-2020,0,76680,57,28.0,3079.0,1
130033,BSNL,F,29.0,Goa,Delhi,611767,12-10-2021,2,148904,32,35.0,2602.0,0
214264,Reliance Jio,M,72.0,Himachal Pradesh,Chennai,521052,08-12-2022,0,140722,16,6.0,7047.0,0
200915,BSNL,M,34.0,Andhra Pradesh,Mumbai,760398,02-10-2022,0,106218,24,8.0,4809.0,0
114247,BSNL,M,66.0,Mizoram,Mumbai,651214,25-07-2021,4,93672,80,50.0,5611.0,0
12170,Airtel,M,42.0,Mizoram,Mumbai,198325,01-03-2020,4,79564,-3,-1.0,7638.0,0
18388,BSNL,M,20.0,Mizoram,Kolkata,150183,02-04-2020,0,unknown,32,3.0,8416.0,0
195362,Vodafone,M,25.0,Punjab,Chennai,589691,04-09-2022,4,67056,94,42.0,3656.0,0
124842,Airtel,M,65.0,Madhya Pradesh,Chennai,816706,16-09-2021,2,144046,49,23.0,3391.0,0
133706,BSNL,M,29.0,Haryana,Bangalore,176377,31-10-2021,0,51957,30,18.0,3547.0,0
56078,BSNL,M,32.0,Manipur,Chennai,828831,07-10-2020,3,80510,2,3.0,3566.0,0
94758,BSNL,F,66.0,Uttarakhand,Kolkata,727240,19-04-2021,2,131847,77,39.0,8434.0,1
135617,BSNL,M,49.0,Meghalaya,Chennai,319965,09-11-2021,0,114419,60,26.0,7288.0,0
74412,Reliance Jio,F,63.0,Karnataka,Chennai,142010,07-01-2021,0,48812,7,47.0,8536.0,0
99339,BSNL,F,40.0,Haryana,Kolkata,539608,12-05-2021,1,71391,60,33.0,8755.0,0
92111,BSNL,M,21.0,Punjab,Delhi,202093,06-04-2021,1,40216,102,30.0,2874.0,1
80662,Reliance Jio,F,21.0,Arunachal Pradesh,Delhi,742396,07-02-2021,2,117551,89,23.0,7478.0,0
53524,Vodafone,M,59.0,Meghalaya,Chennai,584671,24-09-2020,0,121708,35,4.0,4789.0,0
32627,Reliance Jio,F,69.0,Assam,Chennai,474910,12-06-2020,4,32131,53,24.0,1795.0,0
212665,Airtel,F,48.0,Telangana,Delhi,206028,30-11-2022,3,46510,45,10.0,3469.0,1
117043,BSNL,M,46.0,Gujarat,Hyderabad,420399,08-08-2021,4,104467,26,,1085.0,0
101293,Airtel,F,38.0,Madhya Pradesh,Bangalore,966103,21-05-2021,4,77866,65,3.0,679.0,0
14562,BSNL,M,71.0,Meghalaya,Delhi,801548,13-03-2020,4,99999999,96,14.0,1241.0,1
101620,Airtel,M,32.0,Maharashtra,Delhi,311040,23-05-2021,2,112913,65,6.0,839.0,0
135214,Airtel,M,71.0,Himachal Pradesh,Hyderabad,263779,07-11-2021,2,34536,72,18.0,6648.0,0
47158,Vodafone,M,59.0,Karnataka,Delhi,185098,24-08-2020,3,100790,41,30.0,3591.0,0
194338,BSNL,F,18.0,Telangana,Kolkata,523779,30-08-2022,3,53861,58,38.0,9453.0,1
184621,Vodafone,M,21.0,Tamil Nadu,Bangalore,751943,13-07-2022,0,108778,15,40.0,5186.0,1
32615,BSNL,F,49.0,Goa,Delhi,418779,12-06-2020,2,42533,64,7.0,9363.0,0
194832,Reliance Jio,F,24.0,West Bengal,Bangalore,229443,02-09-2022,4,44175,-7,24.0,7144.0,0
31735,Vodafone,M,41.0,Chhattisgarh,Kolkata,228168,07-06-2020,2,34890,45,14.0,1644.0,0
7444,Reliance Jio,M,37.0,Andhra Pradesh,Delhi,780116,07-02-2020,4,42136,22,20.0,6896.0,1
127527,Vodafone,M,41.0,Assam,Hyderabad,801123,30-09-2021,4,36819,41,41.0,844.0,0
235835,Airtel,M,49.0,Andhra Pradesh,Mumbai,431491,26-03-2023,2,100792,99,31.0,9396.0,0
2864,BSNL,F,40.0,Madhya Pradesh,Kolkata,146986,15-01-2020,1,131850,19,48.0,4035.0,1
128313,BSNL,F,68.0,Gujarat,Bangalore,129267,04-10-2021,2,99742,28,25.0,2197.0,0
120620,Airtel,F,40.0,Gujarat,Kolkata,263224,26-08-2021,1,85177,29,27.0,4626.0,0
179051,Airtel,M,48.0,Madhya Pradesh,Hyderabad,124578,15-06-2022,0,33122,36,33.0,474.0,0
180222,Reliance Jio,F,63.0,Mizoram,Bangalore,105619,21-06-2022,1,54356,35,25.0,4714.0,0
157194,Airtel,M,27.0,West Bengal,Delhi,917653,25-02-2022,0,64026,7,39.0,1885.0,0
210713,Vodafone,M,72.0,Tamil Nadu,Mumbai,911293,20-11-2022,4,97915,15,,7334.0,0
84063,Airtel,M,27.0,Haryana,Chennai,715890,24-02-2021,3,41444,41,24.0,7124.0,1
73950,Reliance Jio,M,19.0,Chhattisgarh,Mumbai,415895,05-01-2021,2,127091,-2,3.0,6543.0,1
128236,Airtel,M,27.0,Mizoram,Hyderabad,120807,03-10-2021,3,45271,4,37.0,9534.0,0
127349,Airtel,F,22.0,Odisha,Bangalore,447887,29-09-2021,2,112140,-4,18.0,3675.0,0
6060,Reliance Jio,F,53.0,Sikkim,Bangalore,763760,31-01-2020,4,32026,98,30.0,6169.0,0
120254,reliance jio,M,26.0,Uttarakhand,Delhi,130531,24-08-2021,1,46124,32,35.0,8651.0,0
88507,BSNL,M,28.0,Haryana,Mumbai,921214,18-03-2021,1,49802,79,18.0,2016.0,0
110916,BSNL,F,38.0,Karnataka,Delhi,853369,09-07-2021,2,40905,3,42.0,3710.0,0
42902,Reliance Jio,M,24.0,Maharashtra,Bangalore,157683,02-08-2020,4,46728,1,42.0,686.0,0
161318,Reliance Jio,M,31.0,Bihar,Mumbai,681583,18-03-2022,2,33271,46,11.0,7733.0,0
104729,Airtel,F,32.0,Maharashtra,Chennai,289452,08-06-2021,4,112126,67,52.0,6233.0,1
186147,Airtel,M,47.0,Sikkim,Hyderabad,249008,20-07-2022,1,92887,89,34.0,2391.0,0
91720,Reliance Jio,F,48.0,Jharkhand,Chennai,662268,04-04-2021,2,545719,64,11.0,4227.0,0
5757,BSNL,F,30.0,Manipur,Bangalore,911191,29-01-2020,2,109070,13,24.0,5970.0,0
15415,BSNL,M,70.0,Sikkim,Mumbai,908437,18-03-2020,0,137994,73,39.0,2858.0,0
141635,Vodafone,M,47.0,Tripura,Bangalore,656254,09-12-2021,2,140785,71,30.0,215.0,0
51248,BSNL,F,25.0,Goa,Kolkata,674432,13-09-2020,2,113307,50,35.0,6391.0,0
217673,Reliance Jio,F,71.0,Tamil Nadu,Delhi,139577,25-12-2022,2,29829,35,32.0,627.0,0
129552,Reliance Jio,M,37.0,Odisha,Kolkata,705863,10-10-2021,3,61062,85,4.0,1261.0,0
57744,Reliance Jio,M,70.0,Himachal Pradesh,Delhi,407130,16-10-2020,4,29565,69,46.0,7892.0,0
118936,Reliance Jio,F,62.0,Manipur,Chennai,106748,18-08-2021,2,120781,44,9.0,8734.0,0
237470,Reliance Jio,F,54.0,Tamil Nadu,Delhi,937171,03-04-2023,1,81128,20,7.0,6621.0,0
228149,reliance jio,M,73.0,West Bengal,Hyderabad,885705,15-02-2023,1,20407,44,16.0,6156.0,0
163090,Reliance Jio,F,61.0,Punjab,Chennai,557478,27-03-2022,4,104766,9,50.0,7159.0,1
161419,Vodafone,F,39.0,,Bangalore,219855,18-03-2022,2,77349,87,0.0,5368.0,0
34625,Airtel,F,55.0,Assam,Delhi,667968,22-06-2020,1,94341,48,44.0,6428.0,0
192770,airtel,M,50.0,Haryana,Hyderabad,274437,22-08-2022,0,139715,2,10.0,4804.0,1
215820,Vodafone,F,28.0,Uttarakhand,Kolkata,777972,16-12-2022,1,unknown,40,,1933.0,0
208969,Vodafone,M,69.0,Arunachal Pradesh,Mumbai,604665,11-11-2022,3,23434,5,28.0,9405.0,0
112526,Vodafone,F,24.0,Assam,Kolkata,704082,17-07-2021,0,65602,67,38.0,8898.0,0
111000,airtel,M,26.0,Uttarakhand,Delhi,400068,09-07-2021,3,23072,84,40.0,9912.0,0
62058,Reliance Jio,M,66.0,Bihar,Delhi,559021,06-11-2020,2,23729,32,3.0,2274.0,0
127513,BSNL,F,57.0,Bihar,Bangalore,988492,30-09-2021,1,60444,56,12.0,1226.0,1
1028,Vodafone,M,53.0,Nagaland,Bangalore,767465,06-01-2020,4,69054,58,38.0,3318.0,0
32303,Vodafone,F,69.0,Meghalaya,Mumbai,775426,10-06-2020,1,102783,5,25.0,10107.0,1
125274,Reliance Jio,F,62.0,West Bengal,Bangalore,493404,19-09-2021,4,129255,54,16.0,,0
225095,BSNL,M,57.0,Mizoram,Chennai,981014,31-01-2023,0,97568,31,43.0,9272.0,1
37224,Airtel,F,63.0,Jharkhand,Bangalore,449957,05-07-2020,0,133370,83,24.0,2684.0,0
240087,BSNL,F,73.0,Telangana,Delhi,902522,16-04-2023,2,24922,68,32.0,7146.0,0
80249,Airtel,F,37.0,Arunachal Pradesh,Chennai,294427,05-02-2021,3,31888,12,27.0,8623.0,1
191151,Reliance Jio,F,42.0,Kerala,Bangalore,506416,14-08-2022,0,98075,59,10.0,3445.0,0
22277,Airtel,M,26.0,Goa,Delhi,191222,21-04-2020,1,37100,9,19.0,1056.0,0
185114,Vodafone,M,21.0,Telangana,Kolkata,534314,15-07-2022,2,44112,47,40.0,1926.0,0
130406,Vodafone,F,21.0,Maharashtra,Hyderabad,591427,14-10-2021,2,110161,51,34.0,6966.0,0
91682,Vodafone,M,42.0,Maharashtra,Hyderabad,692968,03-04-2021,0,97964,49,28.0,175.0,0
175500,BSNL,M,19.0,Uttar Pradesh,Mumbai,872050,28-05-2022,2,84173,84,28.0,-359.0,1
322,Vodafone,M,40.0,Uttarakhand,Hyderabad,935405,02-01-2020,4,48102,91,49.0,4223.0,0
109007,Vodafone,F,66.0,Karnataka,Chennai,640919,29-06-2021,0,139067,21,47.0,2641.0,0
44232,BSNL,M,73.0,Mizoram,Bangalore,536579,09-08-2020,3,63181,55,51.0,10000.0,0
86581,Vodafone,M,69.0,Goa,Delhi,681985,09-03-2021,4,104674,60,,5311.0,0
214769,BSNL,M,55.0,Gujarat,Delhi,931952,10-12-2022,4,44248,56,36.0,720.0,0
94496,BSNL,F,71.0,Jharkhand,Kolkata,761022,17-04-2021,2,38363,35,2.0,5788.0,0
196200,BSNL,M,52.0,Haryana,Mumbai,220513,08-09-2022,1,44810,47,42.0,4076.0,0
57735,Vodafone,M,19.0,Punjab,Mumbai,621279,15-10-2020,2,87847,44,42.0,3020.0,0
132983,BSNL,M,71.0,Maharashtra,Chennai,999974,27-10-2021,4,130801,55,15.0,10929.0,0
48537,Vodafone,M,54.0,Haryana,Hyderabad,236798,30-08-2020,3,88549,72,13.0,6757.0,1
206504,Vodafone,M,45.0,Maharashtra,Delhi,674374,30-10-2022,2,102569,30,9.0,4810.0,0
37736,Airtel,M,38.0,Nagaland,Hyderabad,449315,07-07-2020,1,27295,26,6.0,3674.0,0
179401,Airtel,F,46.0,Andhra Pradesh,Kolkata,213594,16-06-2022,1,82527,13,16.0,-267.0,1
147302,Reliance Jio,F,31.0,Telangana,Mumbai,626622,07-01-2022,1,129870,62,2.0,2074.0,0
60232,BSNL,F,41.0,Tamil Nadu,Hyderabad,643589,28-10-2020,1,138649,36,13.0,9473.0,0
106652,Reliance Jio,F,21.0,West Bengal,Delhi,624895,17-06-2021,1,unknown,22,26.0,2310.0,0
51910,Airtel,M,43.0,Telangana,Delhi,252983,16-09-2020,0,39800,58,3.0,8265.0,0
178083,Airtel,F,32.0,Gujarat,Mumbai,698116,10-06-2022,4,117784,45,38.0,6425.0,1
147137,Reliance Jio,M,44.0,Nagaland,Mumbai,445178,06-01-2022,4,51760,51,5.0,4398.0,0
6449,BSNL,F,32.0,Gujarat,Mumbai,382098,02-02-2020,3,115929,78,39.0,5531.0,1
228611,Vodafone,F,59.0,Karnataka,Hyderabad,991846,18-02-2023,3,34855,57,9.0,6542.0,0
233123,Airtel,F,60.0,Rajasthan,Mumbai,428018,12-03-2023,4,60296,25,15.0,9850.0,1
228518,Airtel,M,50.0,Meghalaya,Chennai,617534,17-02-2023,4,82583,58,13.0,5653.0,0
199202,Vodafone,M,29.0,Uttar Pradesh,Kolkata,726675,24-09-2022,3,58330,51,13.0,718.0,0
51148,BSNL,M,18.0,Telangana,Mumbai,642888,12-09-2020,4,70714,70,48.0,616.0,0
208483,BSNL,M,44.0,Uttarakhand,Delhi,690496,09-11-2022,3,99678,28,45.0,7001.0,0
166974,Vodafone,F,51.0,Haryana,Mumbai,813739,15-04-2022,2,109607,24,8.0,10606.0,0
33111,BSNL,M,54.0,Assam,Hyderabad,577262,14-06-2020,0,127219,82,18.0,1371.0,0
98221,Vodafone,F,56.0,Mizoram,Delhi,178675,06-05-2021,4,54813,80,46.0,2079.0,0
169825,Reliance Jio,M,36.0,Maharashtra,Bangalore,257336,29-04-2022,1,22448,86,44.0,8706.0,1
40382,Reliance Jio,F,56.0,Mizoram,Kolkata,293948,21-07-2020,3,148959,77,17.0,4784.0,1
191440,BSNL,M,26.0,Andhra Pradesh,Hyderabad,150940,16-08-2022,1,52242,35,20.0,6079.0,0
232246,Airtel,F,50.0,Gujarat,Delhi,830198,08-03-2023,3,79592,96,2.0,8458.0,0
62543,BSNL,F,40.0,Assam,Hyderabad,986948,09-11-2020,4,89453,83,37.0,9563.0,0
33881,Reliance Jio,M,36.0,Madhya Pradesh,Delhi,905416,18-06-2020,4,128390,63,36.0,3650.0,0
110180,Vodafone,M,46.0,Meghalaya,Bangalore,960183,05-07-2021,2,60370,58,44.0,1746.0,1
224306,Vodafone,M,39.0,Jharkhand,Bangalore,393881,27-01-2023,2,39651,33,21.0,7435.0,1
194385,Reliance Jio,F,54.0,Mizoram,Chennai,624246,30-08-2022,3,36888,92,17.0,3156.0,0
90798,Reliance Jio,M,47.0,Assam,Bangalore,284362,30-03-2021,3,126201,25,26.0,98.22950979742456,0
25667,BSNL,F,52.0,Telangana,Hyderabad,495977,08-05-2020,2,129069,64,5.0,2939.0,0
22637,Airtel,M,38.0,Arunachal Pradesh,Bangalore,259486,23-04-2020,0,27921,49,14.0,6712.0,1
171252,Reliance Jio,M,71.0,Odisha,Bangalore,927680,07-05-2022,3,26699,77,18.0,7657.0,1
215893,BSNL,F,61.0,Tripura,Kolkata,196782,16-12-2022,1,61509,49,34.0,9375.0,0
30450,Reliance Jio,M,71.0,Punjab,,669037,01-06-2020,3,22284,106,28.0,7683.0,0
49591,Airtel,M,29.0,Gujarat,Mumbai,468907,05-09-2020,1,33369,88,2.0,8105.0,0
58816,Airtel,M,26.0,Kerala,Hyderabad,224131,21-10-2020,4,94833,72,22.0,9895.0,1
51424,Vodafone,M,31.0,Uttarakhand,Bangalore,777191,14-09-2020,1,130259,85,22.0,170.0,0
90921,Reliance Jio,M,66.0,Karnataka,Chennai,565770,31-03-2021,0,71629,22,37.0,6534.0,0
5811,Airtel,M,28.0,Meghalaya,Delhi,458635,30-01-2020,2,unknown,34,35.0,-698.0,1
154566,Airtel,M,27.0,Maharashtra,Delhi,883713,12-02-2022,1,78540,28,39.0,3670.0,0
16405,Reliance Jio,F,56.0,Nagaland,Delhi,319083,23-03-2020,2,85729,97,48.0,7548.0,0
147121,BSNL,F,61.0,Assam,Bangalore,604668,06-01-2022,4,83364,71,,2540.0,0
32959,Vodafone,M,44.0,Gujarat,Delhi,960197,13-06-2020,4,72424,85,34.0,4647.0,1
215891,Airtel,M,33.0,Andhra Pradesh,Delhi,387176,16-12-2022,2,92099,71,1.0,6611.0,0
57572,BSNL,M,26.0,Madhya Pradesh,Kolkata,707750,15-10-2020,4,24584,9,4.0,8975.0,0
126534,bsnl,F,25.0,West Bengal,Hyderabad,116554,25-09-2021,0,65188,38,36.0,3336.0,0
209435,Airtel,F,63.0,Uttarakhand,Hyderabad,841138,14-11-2022,2,94921,77,11.0,8472.0,0
67829,Vodafone,M,30.0,Manipur,Hyderabad,333172,05-12-2020,2,120507,14,13.0,149.0,0
142966,Vodafone,M,55.0,Tripura,Bangalore,228554,16-12-2021,1,133047,101,-2.0,9872.0,0
79461,Reliance Jio,F,57.0,Bihar,Kolkata,201976,01-02-2021,4,144110,2,12.0,4993.0,0
192227,Vodafone,F,47.0,Goa,Delhi,809027,20-08-2022,4,144480,62,9.0,6784.0,1
123571,Airtel,M,48.0,Goa,Bangalore,664571,10-09-2021,2,65680,-2,9.0,6502.0,0
168578,Reliance Jio,M,55.0,Maharashtra,Mumbai,381985,23-04-2022,3,45050,39,35.0,4269.0,0
235627,Airtel,M,36.0,Haryana,Hyderabad,321901,25-03-2023,0,30553,0,26.0,85.11911678218225,0
156478,Reliance Jio,M,65.0,Sikkim,Mumbai,820808,22-02-2022,4,113565,36,1.0,4614.0,1
59775,BSNL,M,50.0,Himachal Pradesh,Delhi,304133,26-10-2020,0,102407,31,2.0,1247.0,0
5859,Vodafone,M,44.0,Andhra Pradesh,Mumbai,611917,30-01-2020,1,117478,0,27.0,3324.0,1
200970,Vodafone,M,69.0,Tamil Nadu,Chennai,106709,02-10-2022,4,45341,71,,4718.0,1
173733,Reliance Jio,M,30.0,Meghalaya,Kolkata,245730,19-05-2022,4,81051,79,32.0,8656.0,0
102313,Airtel,F,18.0,Tamil Nadu,Kolkata,190493,27-05-2021,1,148660,45,15.0,818.0,0
41848,Vodafone,F,64.0,Assam,Bangalore,394130,28-07-2020,3,72314,91,7.0,7377.0,0
150803,Vodafone,M,51.0,Punjab,Bangalore,240920,24-01-2022,2,30149,49,39.0,2476.0,0
42539,BSNL,M,65.0,Tamil Nadu,Hyderabad,293838,31-07-2020,3,119751,16,37.0,7364.0,0
32376,Vodafone,M,28.0,,Delhi,143082,11-06-2020,4,127584,36,9.0,7882.0,0
198644,Airtel,F,22.0,Bihar,Hyderabad,681295,21-09-2022,3,28576,90,35.0,6936.0,0
219894,Vodafone,M,32.0,Uttar Pradesh,Mumbai,151082,05-01-2023,2,32738,89,,8901.0,0
75861,Vodafone,F,18.0,Meghalaya,Chennai,196430,14-01-2021,3,49278,84,31.0,845.0,0
233429,BSNL,M,56.0,Haryana,Chennai,152720,14-03-2023,1,41899,9,17.0,8570.0,0
17075,BSNL,F,59.0,Goa,Kolkata,865301,26-03-2020,2,21512,27,14.0,7400.0,0
184573,BSNL,M,66.0,Andhra Pradesh,Kolkata,877766,12-07-2022,4,30612,14,30.0,4107.0,0
118989,Airtel,M,28.0,Odisha,Bangalore,437277,18-08-2021,3,89955,-5,9.0,4322.0,0
182746,BSNL,M,,Assam,Mumbai,665548,03-07-2022,4,23093,27,4.0,810.0,0
157993,Airtel,M,25.0,Madhya Pradesh,Bangalore,966363,01-03-2022,4,148275,99,11.0,-514.0,0
6316,Airtel,M,39.0,Sikkim,Kolkata,796586,01-02-2020,4,25921,55,17.0,9584.0,1
90622,Vodafone,M,25.0,Maharashtra,Kolkata,248387,29-03-2021,1,134109,36,1.0,10685.0,0
43487,Airtel,M,44.0,Andhra Pradesh,Chennai,524953,05-08-2020,1,21725,59,52.0,5557.0,0
64466,Airtel,F,58.0,Telangana,Hyderabad,822237,18-11-2020,3,143110,37,8.0,-691.0,0
199859,Reliance Jio,M,20.0,,Mumbai,509694,27-09-2022,3,102852,90,5.0,3107.0,0
124097,Reliance Jio,M,35.0,Maharashtra,Mumbai,880364,13-09-2021,2,105333,100,31.0,509.0,0
1636,Vodafone,F,40.0,Mizoram,Chennai,109846,09-01-2020,4,143259,59,29.0,8744.0,1
73764,Reliance Jio,F,36.0,Tamil Nadu,Bangalore,563252,04-01-2021,3,107444,3,42.0,863.0,0
3991,Airtel,F,54.0,,Bangalore,849247,20-01-2020,1,123663,26,37.0,6094.0,0
179943,Vodafone,M,72.0,Punjab,Chennai,243665,19-06-2022,4,133948,-6,38.0,4241.0,1
221772,Reliance Jio,F,39.0,Assam,,638159,14-01-2023,3,54522,35,23.0,9442.0,1
138140,Vodafone,M,28.0,Uttarakhand,Hyderabad,245664,22-11-2021,1,47914,85,29.0,980.0,0
121217,Reliance Jio,M,60.0,Telangana,Chennai,187311,29-08-2021,3,32875,100,35.0,8595.0,0
159690,BSNL,F,42.0,Sikkim,Kolkata,580600,10-03-2022,3,130847,85,6.0,10936.0,0
214343,Vodafone,F,50.0,Punjab,Bangalore,210525,08-12-2022,1,140796,3,36.0,1267.0,0
